games,decisions,time,value_error,policy_error
26900,37562,4141.561285018921,2771.2806563015997,2351
27000,37716,4156.796999454498,2690.1302051993744,2451
27100,37853,4169.5667090415955,2552.5394637356376,2464
27200,38007,4186.143290281296,2584.878254977406,2508
27300,38138,4198.104544878006,2717.57647691099,2410
27400,38281,4213.1866228580475,2924.0436585188218,2396
27500,38423,4227.260342597961,2877.8750890301903,2430
27600,38577,4242.551228761673,2681.469472823644,2421
27700,38728,4257.559857130051,2713.3134440428275,2419
27800,38873,4271.121344327927,2629.7120257552288,2547
27900,39020,4286.074394702911,2979.450351187853,2440
28000,39164,4300.603412389755,2706.5983379481677,2470
28100,39303,4314.406805276871,2644.6679191215353,2500
28200,39438,4327.363590717316,3797.834937236382,2479
28300,39574,4340.219635009766,2583.080201991377,2507
28400,39710,4353.129304885864,2677.6169782494126,2531
28500,39861,4368.2471742630005,2571.632724443284,2526
28600,40000,4381.1310613155365,2833.334499947409,2495
28700,40152,4397.616768836975,2886.7676790523665,2441
28800,40298,4417.125010728836,2705.592470039771,2496
28900,40449,4432.419725418091,2852.116526704064,2462
29000,40593,4447.9993896484375,2684.571823488172,2482
29100,40745,4465.993564128876,2949.573111649168,2450
29200,40884,4482.446282863617,3019.0782785359456,2432
29300,41033,4500.9634211063385,2841.294838731057,2479
29400,41180,4519.119556427002,2904.7694636780916,2479
29500,41326,4535.339048624039,2964.726706396402,2454
29600,41469,4550.77797794342,2873.895415418222,2465
29700,41608,4565.911406517029,2751.2967768180515,2521
29800,41754,4582.116169691086,3058.150438430178,2453
29900,41910,4601.398096561432,3517.8556037153267,2460
30000,42061,4628.359608411789,3210.024273080232,2423
30100,42199,4644.607524871826,3156.1054646025605,2520
30200,42344,4662.091413021088,3377.1726365345785,2492
30300,42486,4678.816860675812,3103.719421732615,2459
30400,42634,4699.431145191193,3367.039301012959,2448
30500,42765,4713.79177236557,2963.8357381177675,2555
30600,42919,4731.534654378891,3521.1858589230987,2480
30700,43067,4748.197829246521,3518.8088998459957,2461
30800,43208,4763.705715417862,3760.568893757918,2513
30900,43357,4780.769817113876,5121.771296307577,2533
31000,43501,4796.947094917297,4030.4654956676677,2523
31100,43656,4815.106551885605,3931.1678162896847,2538
31200,43792,4830.01337313652,3911.543026665666,2482
31300,43939,4847.841044425964,4248.050240512197,2544
31400,44088,4864.989896059036,3504.445110477588,2456
31500,44236,4881.437677383423,3340.70207260834,2546
31600,44376,4903.297543287277,4032.866104479441,2524
31700,44520,4920.198025465012,4132.339982463633,2607
31800,44656,4935.645053625107,3464.0367514970667,2650
31900,44796,4951.842303276062,3487.3579646984763,2654
32000,44938,4968.324413061142,3840.480462889117,2442
32100,45073,4984.851336240768,3895.0796998501555,2472
32200,45217,5001.009774208069,3679.124614878776,2495
32300,45362,5018.388397455215,4222.251034371615,2517
32400,45492,5032.883373498917,3420.336146294837,2495
32500,45637,5049.62766623497,3818.878416493716,2483
32600,45779,5065.251038789749,4016.4597835995974,2494
32700,45920,5079.975153207779,3784.701723246148,2485
32800,46071,5097.183969974518,4091.6198532818407,2473
32900,46205,5111.461385726929,3622.858522291996,2532
33000,46353,5128.128746986389,3431.315295799164,2578
33100,46498,5145.217479944229,3621.3375637531994,2580
33200,46636,5166.371770620346,3528.282007474229,2488
33300,46781,5187.213184356689,4029.005524681411,2576
33400,46929,5207.924003124237,3663.6120521544726,2503
33500,47070,5224.841738939285,3629.2796521775026,2481
33600,47210,5241.070807695389,3499.9788935901634,2445
33700,47340,5256.995657205582,3445.1016993420208,2740
33800,47478,5273.14536356926,4181.427118083591,2584
33900,47632,5292.716896533966,4688.72884912402,2595
34000,47769,5309.172793388367,3440.8917082370426,2578
34100,47909,5325.921989202499,3691.4585288066537,2463
34200,48053,5342.466197967529,3738.8572981717734,2553
34300,48198,5359.958447694778,3617.1254441910587,2443
34400,48337,5375.328098773956,4008.112969781894,2603
34500,48468,5389.403021335602,3862.247239054366,2489
34600,48614,5406.251846551895,3573.740600616334,2536
34800,48902,5439.457179307938,3949.972580216942,2560
34900,49037,5454.671215295792,3912.2959175092556,2583
35000,49184,5476.34418797493,4001.9699749598403,2562
35100,49332,5497.773870706558,3977.222554476504,2568
35200,49481,5514.318459510803,3911.3250420062013,2590
35300,49638,5532.461626052856,4000.804955165373,2552
35400,49770,5545.287358999252,3918.8835215150957,2588
35500,49918,5560.479917049408,3995.059352886541,2560
35600,50058,5574.785304546356,3970.476522887862,2576
35700,50205,5590.073371887207,3964.6291689999234,2550
35800,50360,5607.685890674591,4070.2511482483987,2544
