hand_value,soft_hand,dealer_card,occurrence,hit_frequency,stay_frequency,expected_value
12,True,10,6.842753524018066e-05,1.0,0.0,-0.1576488855764248
13,True,10,0.0001368550704803613,1.0,0.0,-0.1878227592455479
14,True,10,0.00020528260572054194,1.0,0.0,-0.19280286041731065
15,True,10,0.0003421376762009032,1.0,0.0,-0.15115009437768082
16,True,10,0.00047899274668126453,1.0,0.0,-0.08181876797498681
17,True,10,0.0006842753524018064,1.0,0.0,-0.14336296856379702
18,True,10,0.0008895579581223484,1.0,0.0,-0.06614478896050109
19,True,10,0.0012316956343232516,0.4444444444444444,0.5555555555555556,0.025500109138331797
20,True,10,0.001573833310524155,0.21739130434782608,0.782608695652174,0.4077849965999749
21,True,10,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7454828733636399
